Density;Diameter;Radius;Largest L-eigenvalue ;AS Second largest Eigenvalue;AS Smallest Eigenvalue;Laplacian spectrum;Girth;Group Size;Domination number;Independence number;Chromatic index
0.08571;7;5;5.65431;2.70914;-2.65431;0.29086;5;1;10;16;4
0.08571;6;5;5.68336;2.71811;-2.68336;0.28189;5;1;10;16;4
0.08571;7;5;5.71895;2.71579;-2.71895;0.28421;5;1;10;16;4
0.08571;6;5;5.64295;2.69634;-2.64295;0.30366;5;1;10;15;4
0.08571;6;5;5.61272;2.69618;-2.61272;0.30382;5;1;10;15;4
0.08571;6;5;5.65761;2.69098;-2.65761;0.30902;5;1;10;16;4
0.08571;6;5;5.72066;2.71457;-2.72066;0.28543;5;1;10;16;4
0.08571;6;5;5.71348;2.67904;-2.71348;0.32096;5;1;10;16;4
0.08571;6;5;5.65768;2.69462;-2.65768;0.30538;5;1;10;15;4
0.08571;6;5;5.66448;2.69041;-2.66448;0.30959;5;1;10;15;4
0.08571;6;5;5.72047;2.68827;-2.72047;0.31173;5;1;10;16;4
0.08571;6;5;5.37;2.69974;-2.6737;0.30026;5;1;10;15;4
0.08571;6;5;5.65889;2.67991;-2.65889;0.32009;5;1;10;16;4
0.08571;6;5;5.64888;2.67876;-2.64888;0.32124;5;1;10;15;4
0.08571;6;5;5.68133;2.97;-2.68133;0.3003;5;1;10;15;4
0.08571;6;5;5.71907;2.67808;-2.71907;0.32192;5;1;10;16;4
0.08571;6;5;5.80466;2.69934;-2.80466;0.30066;5;1;10;16;4
0.08571;6;5;5.62997;2.68688;-2.62997;0.31312;5;1;10;15;4
0.08571;6;5;5.68403;2.70169;-2.68403;0.29831;5;1;10;15;4
0.08571;7;5;5.68172;2.70099;-2.68172;0.29901;5;1;10;15;4
0.08571;6;5;5.68853;2.69904;-2.68853;0.30096;5;1;10;15;4
0.08571;6;5;5.68735;2.70003;-2.68735;0.29997;5;1;10;15;4
0.08571;6;5;5.51;2.68371;-2.6551;0.31629;5;2;10;16;4
0.08571;6;5;5.69544;2.71584;-2.69544;0.28416;5;1;10;15;4
0.08571;7;5;5.68508;2.71678;-2.68508;0.28322;5;1;10;16;4
0.08571;7;5;5.71938;2.73368;-2.71938;0.26632;5;1;10;16;4
0.08571;6;5;5.69413;2.28;-2.69413;0.2872;5;1;10;15;4
0.08571;6;5;5.65417;2.72744;-2.65417;0.27256;5;1;10;15;4
0.08571;7;5;5.67632;2.81;-2.67632;0.2719;5;1;10;15;4
